Business Name,Score,Type,Address,Phone,Website,Reviews,Rating,Departments/Products,No-System Signals,Has Online Ordering,Outreach Angle
Boucherie Beau-Bien,85,Butcher + Épicerie,3748 Ontario St E Montreal H1W 1S2,(514) 527-0221,boucheriebeaubien.ca,297,4.5,"Meats, sauces, prepared meals, olives, pickles, craft beer","Unclaimed Google listing, PDF menu only",No,"Multi-department production - your recipe costing helps track costs across boucherie + prepared meals + épicerie"
Les Faims Finauds,90,Épicerie + Plats cuisinés + Café,9443 Rue Lajeunesse,(514) 903-3293,,152,4.8,"Épicerie, plats cuisinés, traiteur, café","Listed as épicerie de plats cuisinés - exactly your target",No,Perfect fit - grocery store with prepared meals production
L'Épicerie Urbaine,88,Gourmet Grocery,3970 Rue Masson,(514) 543-6646,,23,5.0,Gourmet grocery with prepared foods,"Small review count suggests newer/smaller operation, in-store pickup",No,Upscale grocery with production kitchen - recipe costing for premium products
Marché Des Saveurs Du Québec,82,Gourmet Grocery,280 Pl. du Marché-du-Nord (Jean-Talon),(514) 000-0000,,153,4.7,"Québécois food, wine, kitchenware","Located in Jean-Talon market, specialty Quebec products",No,Quebec specialty products - your French-Canadian voice recognition is perfect fit
Boucherie Chez Vito,80,Italian Butcher + Gourmet,5180 Rue Saint-Urbain,(514) 277-1981,,146,4.9,"Italian meats, gourmet foods",Italian specialty butcher with gourmet foods section,No,Multi-department Italian specialty - boucherie + prepared foods
La Maison du Rôti,75,Butcher + Cheese,1969 Mont-Royal Ave E,(514) 521-2448,,868,4.4,"Gourmet meat, cheese","Stalwart shop - established but multi-department",Maybe,Long-established butcher with cheese department - might need convincing but good reference
Boucherie des Faubourgs,78,Butcher,1267 Ontario St E,(438) 387-1572,,215,4.8,Butcher shop,High rating newer phone number (438),Maybe,Growing butcher shop - positioned for scaling
Boucherie Le Classico,76,Butcher,3334 Rue Jean-Talon E,(514) 387-7000,,93,5.0,Butcher shop,Perfect 5.0 rating with delivery,Maybe,Premium butcher - quality focused could appreciate recipe costing
Solution Gourmande,72,Plats cuisinés,5421 Rue Bannantyne,(514) 819-1639,,46,5.0,Prepared meals (Prêt-à-manger),Perfect 5.0 rating prepared meals specialist,No,Prepared meals specialist - directly in your wheelhouse
Aliment-Ère Prêt-à-manger végétalien,70,Vegan Prepared Meals,2700 Rue Dandurand,(514) 805-3976,,13,4.9,Vegan prepared meals,"Small operation, niche focus, curbside only",No,Niche vegan prep kitchen - smaller but good for testing
Maisonneuve Market,65,Farmers Market,4445 Ontario St E,(514) 937-7754,,2355,4.4,Market with local vendors,Large market - individual vendors inside could be targets,Varies,Market with multiple vendors - could find several targets inside
Agrigourmet,68,Restaurant + Takeout,4605 Rue Sainte-Catherine E,(514) 508-4383,,75,4.4,"Restaurant, takeout, prepared meals",No-contact delivery mentioned (manual process?),No,Restaurant with takeout focus - prepared meals production
